Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"Kane-Noble, Celina  (399988) A, D, J, MAXPAY, S, Z",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Karlson, Stuart  (141323) A, D, MAXPAY, Ops",13,A6,OFF,,OFF,,OFF,,05,A3,05,A6,05,A6,05,A6,05,A4,05,A4,05,A4,05,RC2,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,A3,05,A6,05,A6,05,A6,OFF,,OFF,,OFF,,OFF,,13,A3,13,A2,13,A6,13,A6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,L,S,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Karper, Rob  (412095) A, D, MAXPAY, Ops",05,C5,05,C5,OFF,,OFF,,05,C8,05,C2,13,A3,13,C5,13,C5,13,C5,OFF,,OFF,,OFF,,05,C5,05,C5,05,C5,05,RC2,05,36,OFF,,OFF,,OFF,,13,C5,13,A1,13,A5,13,A6,OFF,,13,96,OFF,,05,C5,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Karugu, John  (643919) D, L",OFF,,OFF,,OFF,,05,77,05,77,05,77,05,77,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,RC2,13,77,OFF,,OFF,,OFF,,05,77,05,77,05,77,05,77,OFF,,OFF,,OFF,,13,82,13,77,13,77,13,77,13,77,OFF,
,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Katz, Whitney  (877720) D",05,,05,,05,,OFF,,OFF,,OFF,,OFF,,05,38,OFF,,OFF,,OFF,,OFF,,OFF,,05,45,05,37,05,45,05,22,OFF,,05,46,05,32,05,14,05,39,05,06,05,45,OFF,,OFF,,OFF,,OFF,,05,44,05,44,05,45
,,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,
,"Keck, Daniel  (460714) D, J",OFF,,OFF,,13,10,13,10,13,10,13,10,OFF,,OFF,,OFF,,13,33,13,33,13,37,13,10,OFF,,OFF,,OFF,,13,08,13,10,13,10,13,10,13,10,OFF,,OFF,,OFF,,13,11,13,03,13,44,13,08,OFF,,OFF,,OFF,
,"Kennedy, Sean  (801463) D, E",05,43,05,43,05,43,OFF,,OFF,,OFF,,05,43,05,43,05,43,05,43,05,29,05,42,05,25,05,RC2,05,43,05,43,05,43,05,57,OFF,,OFF,,OFF,,OFF,,05,43,05,43,05,43,05,44,05,25,05,49,OFF,,05,06,05,13
,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kent, Matt  (624233) A, D, L, MAXPAY, S",05,A5,05,A5,OFF,,OFF,,05,A4,05,S1,05,A5,05,A5,05,A5,OFF,,OFF,,OFF,,OFF,,05,A5,05,A5,05,A5,05,A5,OFF,,OFF,,05,S1,05,79,05,A5,05,A5,05,A5,05,RC2,05,77,05,A5,05,S1,05,A5,05,A5,05,A5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,,
,"Keyes, Jo  (624227) D, L, P",13,76,13,76,13,76,OFF,,OFF,,OFF,,OFF,,13,77,13,77,13,77,13,77,OFF,,OFF,,OFF,,13,76,13,76,13,76,13,RC2,13,76,OFF,,OFF,,OFF,,13,77,13,77,13,77,OFF,,OFF,,OFF,,OFF,,13,76,13,76
,,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Khuu, Julie  (598216) D",13,26,13,26,13,27,OFF,,OFF,,OFF,,13,26,13,26,13,26,13,26,OFF,,OFF,,13,12,13,26,13,26,13,26,13,26,13,95,13,45,13,97,13,98,13,26,13,26,13,26,13,26,13,96,13,93,OFF,,13,26,13,26,13,26
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Kim, Seung Jin  (741932) D, P",21,11,21,64,OFF,,OFF,,OFF,,OFF,,OFF,,21,11,21,11,OFF,,OFF,,21,11,21,27,OFF,,21,64,21,11,21,11,21,11,21,11,21,45,21,04,OFF,,21,64,21,11,21,RC2,21,66,21,66,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,
,"Kimble, Drew  (758744) D, E, P",OFF,,21,56,21,56,21,56,21,RC2,OFF,,OFF,,OFF,,21,56,21,56,21,56,21,56,21,56,OFF,,OFF,,OFF,,21,56,21,56,21,56,21,56,OFF,,OFF,,OFF,,21,56,21,56,21,56,21,56,OFF,,OFF,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"Kinney, Ethan  (717409) D, J, Ops",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,25,13,25,OFF,,13,C7,13,45,13,RC2,13,17,13,17,13,20,OFF,,13,20,OFF,,13,C9,OFF,,13,25,13,C3,13,39,13,C6,13,C7,13,C7,13,C2,OFF,,13,C9,OFF,
,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kinney, Stephanie  (643146) D, E, L, S",05,81,05,82,05,62,05,49,05,77,OFF,,05,,05,,05,53,05,82,05,S1,05,,05,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,,OFF,,13,RC2,07,,OFF,,05,72
,,,,,,,,,,,,,,,,,,,,L,A,L,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Klein, Cameron  (796928) D, P",21,43,OFF,,21,21,21,21,21,21,21,21,21,13,OFF,,OFF,,21,21,21,RC2,21,21,OFF,,OFF,,OFF,,OFF,,OFF,,21,21,21,21,21,21,OFF,,OFF,,21,33,21,33,21,11,21,09,21,21,21,21,21,66,OFF,,21,11
,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Klein, Phil  (624225) D, E, P",21,49,21,50,21,51,21,52,21,RC2,21,49,21,49,OFF,,OFF,,OFF,,21,50,21,54,21,50,21,51,21,49,21,49,21,57,OFF,,21,97,21,93,21,49,OFF,,OFF,,OFF,,21,49,21,64,21,49,21,49,21,49,21,49,21,49
,"Knight, Justin  (211008) D, E",OFF,,OFF,,OFF,,OFF,,13,44,13,RC2,13,44,13,44,OFF,,OFF,,13,18,13,18,13,18,13,21,OFF,,OFF,,13,94,13,44,13,37,13,44,13,44,13,44,13,44,OFF,,OFF,,13,18,13,18,13,18,13,21,OFF,,OFF,
,"Knight, Latranae  (753581) D, L",OFF,,13,60,13,62,13,17,13,17,13,22,OFF,,OFF,,13,16,13,16,13,16,13,63,13,82,OFF,,OFF,,OFF,,13,17,13,17,13,78,13,RC2,OFF,,OFF,,OFF,,13,16,13,81,13,16,13,16,13,73,13,03,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kochish, Kaitie  (228827) D, E",13,22,13,22,13,21,OFF,,OFF,,13,06,13,19,13,03,13,36,OFF,,OFF,,OFF,,OFF,,OFF,,13,21,13,22,13,22,13,36,13,36,OFF,,13,RC2,13,57,13,06,13,19,13,19,OFF,,OFF,,OFF,,13,22,13,22,13,22
,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kofoed, Jared  (793514) D, P",OFF,,OFF,,13,37,13,37,13,37,OFF,,OFF,,OFF,,OFF,,13,37,13,37,13,37,13,37,OFF,,OFF,,OFF,,13,37,13,37,13,37,13,37,OFF,,OFF,,OFF,,OFF,,13,37,13,37,13,37,13,37,13,36,OFF,,OFF,
,,,,,,L,x,L,V,L,V,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,
,"Koscheka, Bob  (132518) D, L",13,61,13,61,13,61,OFF,,OFF,,OFF,,OFF,,13,61,13,61,13,61,13,61,OFF,,OFF,,OFF,,13,61,13,61,13,61,13,RC2,OFF,,OFF,,OFF,,OFF,,13,61,13,61,13,61,13,61,OFF,,OFF,,OFF,,13,61,13,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,
,"Koury, Joe  (199928) D, MAXPAY, Ops, S",13,C10,13,S1,13,C11,OFF,,OFF,,OFF,,13,S1,OFF,,13,C11,13,C11,13,C11,13,C11,13,C11,13,C11,13,C11,13,C11,OFF,,OFF,,13,C10,13,C10,13,C10,13,C3,13,C11,13,C11,13,C11,13,C11,13,C11,13,C11,13,C11,13,C11,13,C11
,,13,C11,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C11,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kramer, Bradley  (240532) D, E",OFF,,OFF,,05,22,05,22,05,22,05,RC2,OFF,,OFF,,OFF,,05,34,05,34,05,34,05,34,OFF,,OFF,,OFF,,OFF,,05,22,05,22,05,22,05,25,OFF,,OFF,,OFF,,05,53,05,34,05,34,05,34,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,
,"Kreiselmeier, Manfred  (397459) D",13,07,13,07,13,RC2,13,02,13,02,OFF,,13,06,13,06,13,06,13,06,OFF,,OFF,,OFF,,OFF,,13,07,13,07,13,07,13,07,OFF,,OFF,,OFF,,13,06,13,06,13,06,13,06,OFF,,OFF,,OFF,,OFF,,13,07,13,07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,
,"Kresek, Katie  (211318) D, E",05,26,05,26,OFF,,OFF,,OFF,,05,26,05,26,05,26,05,26,OFF,,OFF,,OFF,,OFF,,05,26,05,26,05,26,05,26,05,93,OFF,,OFF,,05,26,05,26,05,26,05,26,05,39,OFF,,OFF,,05,54,05,26,05,26,05,26
,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Krzyszton, Tom  (643162) D, E, J, L, MAXPAY, P, S, Z",07,,OFF,,21,,21,,21,,14,,13,,OFF,,21,,21,,21,,20,,13,,13,,OFF,,13,,20,,13,,13,,13,,13,,OFF,,OFF,,OFF,,20,,13,,13,,13,,21,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"Kuzukian, Alec  (705172) D, Ops",21,33,21,C6,21,C2,OFF,,OFF,,21,33,21,33,21,33,21,C2,OFF,,OFF,,OFF,,OFF,,21,33,21,C10,21,33,21,RC2,OFF,,OFF,,OFF,,21,C1,21,33,21,C4,21,C6,21,31,21,35,OFF,,OFF,,21,33,21,33,21,33
,"LaBoy, Joshua  (741589) D, E, J",13,21,13,18,13,42,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,20,13,21,OFF,,OFF,,OFF,,OFF,,OFF,,13,55,13,01,13,55,13,01,OFF,,OFF,,13,20,13,20,13,55,13,21
,"LaFountain, Brian  (793852) D, P",05,37,OFF,,05,16,05,33,OFF,,OFF,,OFF,,OFF,,OFF,,05,67,05,12,05,12,05,12,05,12,05,12,05,27,OFF,,OFF,,05,02,05,02,05,02,05,04,13,23,OFF,,05,11,05,14,05,65,05,12,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"LaRue, John  (223976) D, P",13,24,OFF,,OFF,,OFF,,13,20,13,20,13,20,13,20,OFF,,13,09,OFF,,13,27,OFF,,13,RC2,13,29,OFF,,OFF,,13,46,13,07,13,20,13,20,13,20,13,20,OFF,,OFF,,OFF,,13,27,13,27,13,27,13,29,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,L,S,,
,"Lacki, Dave  (16807) D, MAXPAY, Ops",OFF,,OFF,,07,,07,,07,,OFF,,OFF,,OFF,,OFF,,OFF,,07,,07,,07,,OFF,,21,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,OFF,,07,,07,,05,RC2,07,,OFF,,OFF,,07,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,07,,07,,07,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,,,,,,,,
,"Lacoume, Rick  (8820) A, D, I, MAXPAY, Ops",OFF,,OFF,,OFF,,13,C11,13,C11,13,C11,13,C11,13,C11,13,C2,OFF,,OFF,,13,I1,13,I1,13,C10,13,C10,OFF,,OFF,,OFF,,OFF,,13,C11,13,I2,13,C11,13,I2,OFF,,OFF,,OFF,,13,C10,13,I2,13,I2,13,C10,OFF,
,"Laird, David  (567590) D, E",21,55,OFF,,OFF,,OFF,,21,59,OFF,,OFF,,21,52,21,53,21,53,21,RC2,21,53,OFF,,OFF,,21,53,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,52,21,53,21,53,21,55,21,53,21,53,21,53,21,53,21,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,L,V,L,V,L,V,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,56,21,58,21,55,21,53,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,
,"Lambert, David  (233065) D, E, P",21,54,21,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,21,52,21,57,21,64,21,RC2,21,49,21,55,OFF,,21,48,21,65,21,52,21,53,OFF,,OFF,,OFF,,OFF,,21,68,21,68,21,58
,,,,L,x,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,L,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,,
,"Langham, Amy  (758745) D, L, MAX, Ops",13,C11,13,C8,13,C3,OFF,,OFF,,05,C5,05,C10,05,C5,05,82,05,RC2,OFF,,OFF,,13,63,13,79,13,C2,OFF,,13,30,OFF,,05,C6,OFF,,05,C3,05,C2,05,C2,05,C2,05,C9,OFF,,OFF,,OFF,,13,C10,13,C3,13,C1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,S,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Larkin, Jeffrey  (316562) D, P",05,34,OFF,,OFF,,OFF,,05,45,05,66,05,RC2,OFF,,OFF,,05,37,05,67,OFF,,05,67,05,38,OFF,,05,35,OFF,,05,15,05,66,05,68,05,17,OFF,,OFF,,OFF,,05,67,05,67,05,68,05,RCP,OFF,,OFF,,OFF,
,"Lawrence, Kara  (591594) D, E, L, P",OFF,,OFF,,OFF,,21,RC2,21,52,21,52,21,52,OFF,,OFF,,OFF,,21,52,OFF,,OFF,,21,52,OFF,,13,93,OFF,,OFF,,21,52,21,52,21,52,21,52,21,97,OFF,,13,96,21,52,21,52,21,52,21,52,21,78,21,64
,,,,,,,,,,,,,,,,,,,,,,L,R,,,,,L,R,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
Name (ID) Qualification,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,May,,Jun,
,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,01,
,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,
,"Layton, John  (970612) D",OFF,,OFF,,OFF,,OFF,,05,16,05,18,05,39,OFF,,05,30,05,17,05,13,05,RC2,OFF,,OFF,,OFF,,OFF,,05,46,05,28,05,13,OFF,,OFF,,OFF,,OFF,,13,30,OFF,,05,36,05,19,05,19,05,13,OFF,,OFF,
,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Leachman, Jacob  (764569) D, P",13,38,OFF,,13,01,13,01,13,01,13,01,13,RC2,OFF,,13,24,OFF,,13,28,13,44,13,67,13,38,OFF,,OFF,,OFF,,OFF,,OFF,,13,07,13,04,OFF,,13,38,13,68,13,28,13,28,13,46,13,46,13,38,13,38,13,38
,,,,,,L,S,L,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,68,OFF,,13,68
,"Leake, Mike  (351021) D",13,12,13,12,13,12,13,12,OFF,,OFF,,OFF,,OFF,,13,12,OFF,,13,21,13,08,13,17,OFF,,05,38,13,12,OFF,,OFF,,OFF,,13,22,13,13,OFF,,OFF,,13,12,13,12,13,RC2,13,12,13,35,OFF,,OFF,,13,12
,,L,V,L,V,L,V,L,V,,,,,,,,,L,V,,,,,,,,,,,L,S,,,,,,,,,L,S,,,,,,,,,,,,,,,,,,,,,,
,"Lease, Kristen  (686347) D",OFF,,OFF,,21,25,21,45,21,41,21,41,21,41,21,13,OFF,,OFF,,OFF,,21,RC2,21,41,21,41,21,41,OFF,,OFF,,OFF,,OFF,,21,41,21,41,21,41,21,41,21,19,OFF,,OFF,,21,41,21,41,21,41,21,41,21,41
,"Lee, Ervin  (292216) D, L",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,22,05,22,05,22,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,72,OFF,,05,18,OFF,,OFF,,OFF,,OFF,,05,12,05,12,OFF,
,,,,,,,,,,,,,,,,,,,,L,w,L,w,L,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Leeward, Ryan  (773656) D",OFF,,OFF,,13,22,13,04,13,46,13,17,OFF,,OFF,,OFF,,13,04,13,04,13,04,13,04,OFF,,OFF,,OFF,,OFF,,13,31,13,42,13,37,13,RC2,OFF,,13,34,OFF,,13,04,13,04,13,04,OFF,,OFF,,OFF,,OFF,
,"Lemasters, Scott  (593207) D, J, L, MAX",OFF,,OFF,,OFF,,05,77,05,82,05,76,05,41,05,41,OFF,,OFF,,05,22,05,25,05,,05,,OFF,,OFF,,OFF,,OFF,,OFF,,05,83,05,81,05,81,05,73,OFF,,OFF,,05,73,05,73,05,73,05,73,OFF,,OFF,
,,,,,,,,,,,,,,L,R,L,R,,,,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,L,S,,,,,,,,,,,,,,,,
,"Lemus, David  (170198) D, E, J, L",05,54,05,50,05,50,05,50,05,RC2,OFF,,OFF,,OFF,,05,26,OFF,,05,51,05,54,05,54,05,54,05,54,05,76,05,50,05,50,05,50,05,50,05,55,05,32,05,51,05,95,OFF,,OFF,,OFF,,05,57,05,54,05,54,05,54
,"Lenigan, Gary  (539683) D, MAXPAY, Ops, S",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Lepore, Jenn  (663483) NO QUALIFICATIONS",05,,05,,05,,05,,OFF,,OFF,,05,,05,,05,,05,,OFF,,OFF,,05,,05,,05,,05,,13,,OFF,,13,,OFF,,05,,05,,05,,13,,OFF,,OFF,,OFF,,05,,05,,05,,13,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Li-Stump, Fengqin  (615922) D, E, P",OFF,,OFF,,13,52,13,48,13,48,13,48,13,48,OFF,,OFF,,OFF,,05,RC2,05,48,05,48,05,48,OFF,,OFF,,OFF,,OFF,,13,48,13,48,13,48,13,48,OFF,,OFF,,OFF,,05,48,05,48,05,48,05,48,OFF,,OFF,
,"Lindsey, Ronald  (505203) D, L, MAX",OFF,,OFF,,OFF,,05,,05,,05,,05,,05,72,05,81,05,81,05,81,05,78,OFF,,05,76,05,76,05,81,05,81,05,81,05,78,05,74,OFF,,05,82,05,81,05,81,05,81,05,81,05,21,05,62,05,31,05,47,OFF,
,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
